"spelling","meaning","tags","例文・メモ"
"xin chào","こんにちは","挨拶",""
"tạm biệt","さようなら","挨拶",""
"cảm ơn","ありがとう","挨拶",""
"xin lỗi","すみません","挨拶",""
"vâng","はい","挨拶",""
"không","いいえ","挨拶",""
"chào buổi sáng","おはようございます","挨拶",""
"chào buổi tối","こんばんは","挨拶",""
"một","1","数字",""
"hai","2","数字",""
"ba","3","数字",""
"bốn","4","数字",""
"năm","5","数字",""
"sáu","6","数字",""
"bảy","7","数字",""
"tám","8","数字",""
"chín","9","数字",""
"mười","10","数字",""
"tôi","私","代名詞",""
"bạn","あなた","代名詞",""
"anh","あなた（年上男性）","代名詞",""
"chị","あなた（年上女性）","代名詞",""
"em","あなた（年下）","代名詞",""
"gia đình","家族","家族",""
"bố","父","家族",""
"mẹ","母","家族",""
"anh trai","兄","家族",""
"chị gái","姉","家族",""
"em trai","弟","家族",""
"em gái","妹","家族",""
"con","子供","家族",""
"cơm","ご飯","食べ物",""
"phở","フォー","食べ物",""
"nước","水","食べ物",""
"trà","お茶","食べ物",""
"cà phê","コーヒー","食べ物",""
"bánh mì","パン","食べ物",""
"thịt","肉","食べ物",""
"cá","魚","食べ物",""
"rau","野菜","食べ物",""
"trái cây","果物","食べ物",""
"đi","行く","動詞",""
"đến","来る","動詞",""
"ăn","食べる","動詞",""
"uống","飲む","動詞",""
"ngủ","寝る","動詞",""
"học","学ぶ","動詞",""
"làm","する・働く","動詞",""
"nói","話す","動詞",""
"nghe","聞く","動詞",""
"xem","見る","動詞",""
"mua","買う","動詞",""
"đẹp","美しい","形容詞",""
"to","大きい","形容詞",""
"nhỏ","小さい","形容詞",""
"mới","新しい","形容詞",""
"cũ","古い","形容詞",""
"nóng","暑い・熱い","形容詞",""
"lạnh","寒い・冷たい","形容詞",""
"ngon","美味しい","形容詞",""
"vui","楽しい","形容詞",""
"buồn","悲しい","形容詞",""
"nhà","家","場所",""
"trường","学校","場所",""
"chợ","市場","場所",""
"bệnh viện","病院","場所",""
"sân bay","空港","場所",""
"thứ hai","月曜日","時間",""
"thứ ba","火曜日","時間",""
"thứ tư","水曜日","時間",""
"thứ năm","木曜日","時間",""
"thứ sáu","金曜日","時間",""
"thứ bảy","土曜日","時間",""
"chủ nhật","日曜日","時間",""
"mình","私、自分","代名詞",""
"ông","祖父、お年寄りの男性","家族,人",""
"bà","祖母、お年寄りの女性","家族,人",""
"cô","年上の女性、先生","家族,人",""
"chú","叔父、年下の年長男性","家族,人",""
"bác","叔父・伯父、年長者","家族,人",""
"cháu","甥・姪、孫、年下の親族","家族,人",""
"họ","彼ら","代名詞",""
"chúng ta","私たち（聞き手を含む）","代名詞",""
"chúng tôi","私たち（聞き手を含まない）","代名詞",""
"người","人","人",""
"mọi người","みんな","人",""
"ai","誰","疑問詞",""
"gì","何","疑問詞",""
"nào","どの、どんな","疑問詞",""
"đâu","どこ","疑問詞",""
"ở đâu","どこに、どこで","疑問詞",""
"khi nào","いつ","疑問詞",""
"tại sao","なぜ","疑問詞",""
"thế nào","どう、どのように","疑問詞",""
"bao nhiêu","いくつ、いくら","疑問詞",""
"bao lâu","どのくらいの期間","疑問詞",""
"bao giờ","いつ","疑問詞",""
"đây","ここ、こちら","指示詞",""
"đó","それ、あそこ","指示詞",""
"kia","あれ、あちら","指示詞",""
"này","この、これ","指示詞",""
"ấy","その、あの","指示詞",""
"đằng kia","あちら","指示詞",""
"chào","こんにちは、やあ","挨拶,会話",""
"không có gì","どういたしまして","挨拶,会話",""
"không sao","大丈夫、問題ない","挨拶,会話",""
"dạ","はい（丁寧な返答）","挨拶,会話",""
"ừ","うん、はい","挨拶,会話",""
"được","いい、できる、許可される","挨拶,会話",""
"đúng","正しい、その通り","挨拶,会話",""
"sai","間違っている","挨拶,会話",""
"ạ","丁寧さを表す文末詞","挨拶,会話",""
"nhé","〜ね、〜しようね","挨拶,会話",""
"nhỉ","〜だよね","挨拶,会話",""
"à","あ、〜なの？","挨拶,会話",""
"ơi","呼びかけの語","挨拶,会話",""
"thôi","〜だけ、もう〜しない","挨拶,会話",""
"chúc","祝う","挨拶,会話",""
"mừng","喜ぶ、祝う","挨拶,会話",""
"mười một","11","数字,順序",""
"mười hai","12","数字,順序",""
"mười ba","13","数字,順序",""
"mười bốn","14","数字,順序",""
"mười lăm","15","数字,順序",""
"mười sáu","16","数字,順序",""
"mười bảy","17","数字,順序",""
"mười tám","18","数字,順序",""
"mười chín","19","数字,順序",""
"hai mươi","20","数字,順序",""
"ba mươi","30","数字,順序",""
"bốn mươi","40","数字,順序",""
"năm mươi","50","数字,順序",""
"sáu mươi","60","数字,順序",""
"bảy mươi","70","数字,順序",""
"tám mươi","80","数字,順序",""
"chín mươi","90","数字,順序",""
"một trăm","100","数字,順序",""
"một nghìn","1000","数字,順序",""
"một triệu","100万","数字,順序",""
"thứ nhất","第1、最初","数字,順序",""
"lần","回、度","数字,順序",""
"hôm nay","今日","時間",""
"hôm qua","昨日","時間",""
"ngày mai","明日","時間",""
"hôm kia","一昨日","時間",""
"ngày kia","明後日","時間",""
"tuần","週","時間",""
"tuần này","今週","時間",""
"tuần sau","来週","時間",""
"tuần trước","先週","時間",""
"tháng","月、〜か月","時間",""
"tháng này","今月","時間",""
"tháng sau","来月","時間",""
"tháng trước","先月","時間",""
"năm nay","今年","時間",""
"năm ngoái","去年","時間",""
"năm sau","来年","時間",""
"năm trước","前年、去年","時間",""
"sáng","朝、明るい","時間",""
"buổi sáng","朝","時間",""
"trưa","昼、正午","時間",""
"buổi trưa","昼","時間",""
"chiều","午後、夕方","時間",""
"buổi chiều","午後","時間",""
"tối","夜、夕方","時間",""
"buổi tối","夜","時間",""
"đêm","夜中","時間",""
"nửa đêm","真夜中","時間",""
"giờ","時間、時刻","時間",""
"phút","分","時間",""
"giây","秒","時間",""
"sớm","早い、早く","時間",""
"muộn","遅い、遅く","時間",""
"bây giờ","今","時間",""
"ngay","すぐに","時間",""
"lúc","〜の時","時間",""
