spelling,meaning,tags
xin chào,こんにちは,挨拶
tạm biệt,さようなら,挨拶
cảm ơn,ありがとう,挨拶
xin lỗi,すみません,挨拶
vâng,はい,挨拶
không,いいえ,挨拶
chào buổi sáng,おはようございます,挨拶
chào buổi tối,こんばんは,挨拶
chúc mừng,おめでとう,挨拶
chúc ngủ ngon,おやすみなさい,挨拶
hẹn gặp lại,また会いましょう,挨拶
không có gì,どういたしまして,挨拶
làm ơn,お願いします,挨拶
rất vui được gặp bạn,お会いできて嬉しいです,挨拶
chúc may mắn,幸運を祈ります,挨拶
một,1,数字
hai,2,数字
ba,3,数字
bốn,4,数字
năm,5,数字
sáu,6,数字
bảy,7,数字
tám,8,数字
chín,9,数字
mười,10,数字
mười một,11,数字
mười hai,12,数字
mười ba,13,数字
mười lăm,15,数字
hai mươi,20,数字
ba mươi,30,数字
bốn mươi,40,数字
năm mươi,50,数字
sáu mươi,60,数字
bảy mươi,70,数字
tám mươi,80,数字
chín mươi,90,数字
một trăm,100,数字
một nghìn,1000,数字
một triệu,100万,数字
số không,0,数字
tôi,私,代名詞
bạn,あなた,代名詞
anh,あなた（年上男性）,代名詞
chị,あなた（年上女性）,代名詞
em,あなた（年下）,代名詞
ông,あなた（高齢男性）,代名詞
bà,あなた（高齢女性）,代名詞
chúng tôi,私たち,代名詞
họ,彼ら,代名詞
nó,それ・彼・彼女（親しい間柄）,代名詞
gia đình,家族,家族
bố,父,家族
mẹ,母,家族
anh trai,兄,家族
chị gái,姉,家族
em trai,弟,家族
em gái,妹,家族
con,子供,家族
ông nội,父方の祖父,家族
bà nội,父方の祖母,家族
ông ngoại,母方の祖父,家族
bà ngoại,母方の祖母,家族
chồng,夫,家族
vợ,妻,家族
con trai,息子,家族
con gái,娘,家族
cô,叔母（父方）,家族
chú,叔父（父方）,家族
dì,叔母（母方）,家族
cậu,叔父（母方）,家族
cháu,甥・姪・孫,家族
đầu,頭,体
tóc,髪,体
mặt,顔,体
mắt,目,体
mũi,鼻,体
miệng,口,体
tai,耳,体
răng,歯,体
lưỡi,舌,体
cổ,首,体
vai,肩,体
tay,手・腕,体
ngón tay,指,体
ngực,胸,体
bụng,お腹,体
lưng,背中,体
chân,足,体
đầu gối,膝,体
tim,心臓,体
da,皮膚,体
xương,骨,体
máu,血,体
cơm,ご飯,食べ物
phở,フォー,食べ物
bún,ブン（米麺）,食べ物
nước,水,飲み物
trà,お茶,飲み物
cà phê,コーヒー,飲み物
bánh mì,パン,食べ物
thịt,肉,食べ物
thịt gà,鶏肉,食べ物
thịt bò,牛肉,食べ物
thịt lợn,豚肉,食べ物
cá,魚,食べ物
tôm,エビ,食べ物
trứng,卵,食べ物
rau,野菜,食べ物
cà rốt,人参,食べ物
khoai tây,じゃがいも,食べ物
cà chua,トマト,食べ物
hành,玉ねぎ,食べ物
tỏi,にんにく,食べ物
ớt,唐辛子,食べ物
muối,塩,食べ物
đường,砂糖,食べ物
nước mắm,ヌクマム（魚醤）,食べ物
dầu ăn,食用油,食べ物
trái cây,果物,食べ物
chuối,バナナ,食べ物
xoài,マンゴー,食べ物
dưa hấu,スイカ,食べ物
cam,オレンジ,食べ物
táo,りんご,食べ物
nho,ぶどう,食べ物
dứa,パイナップル,食べ物
bia,ビール,飲み物
rượu,酒,飲み物
sữa,牛乳,飲み物
nước cam,オレンジジュース,飲み物
kem,アイスクリーム,食べ物
bánh,菓子・ケーキ,食べ物
kẹo,飴,食べ物
phô mai,チーズ,食べ物
súp,スープ,食べ物
đi,行く,動詞
đến,来る,動詞
về,帰る,動詞
ăn,食べる,動詞
uống,飲む,動詞
ngủ,寝る,動詞
thức dậy,起きる,動詞
học,学ぶ,動詞
dạy,教える,動詞
làm,する・働く,動詞
nói,話す,動詞
nghe,聞く,動詞
xem,見る,動詞
nhìn,見る（視線を向ける）,動詞
mua,買う,動詞
bán,売る,動詞
viết,書く,動詞
đọc,読む,動詞
mở,開ける,動詞
đóng,閉める,動詞
bắt đầu,始める,動詞
kết thúc,終わる,動詞
đứng,立つ,動詞
ngồi,座る,動詞
nằm,横になる,動詞
chạy,走る,動詞
đi bộ,歩く,動詞
lái xe,運転する,動詞
gửi,送る,動詞
nhận,受け取る,動詞
mượn,借りる,動詞
trả,返す・支払う,動詞
giúp,手伝う,動詞
tìm,探す,動詞
thấy,見える・見つける,動詞
biết,知る,動詞
hiểu,理解する,動詞
quên,忘れる,動詞
nhớ,覚えている・恋しい,動詞
cười,笑う,動詞
khóc,泣く,動詞
hát,歌う,動詞
nhảy,踊る・跳ぶ,動詞
chơi,遊ぶ,動詞
nấu,料理する,動詞
rửa,洗う,動詞
dọn dẹp,片付ける,動詞
sửa,直す,動詞
xây,建てる,動詞
trồng,植える,動詞
nuôi,飼う・育てる,動詞
sinh,生まれる,動詞
chết,死ぬ,動詞
sống,生きる・住む,動詞
kết hôn,結婚する,動詞
suy nghĩ,考える,動詞
tin,信じる,動詞
hỏi,尋ねる,動詞
trả lời,答える,動詞
nói chuyện,会話する,動詞
gặp,会う,動詞
gọi,呼ぶ・電話する,動詞
đợi,待つ,動詞
mang,持って行く,動詞
lấy,取る,動詞
cho,与える,動詞
đưa,渡す,動詞
làm việc,働く,動詞
nghỉ,休む,動詞
du lịch,旅行する,動詞
đẹp,美しい,形容詞
xấu,醜い・悪い,形容詞
to,大きい,形容詞
nhỏ,小さい,形容詞
mới,新しい,形容詞
cũ,古い,形容詞
nóng,暑い・熱い,形容詞
lạnh,寒い・冷たい,形容詞
ấm,暖かい,形容詞
mát,涼しい,形容詞
ngon,美味しい,形容詞
dở,まずい,形容詞
vui,楽しい,形容詞
buồn,悲しい,形容詞
cao,高い（背が）,形容詞
thấp,低い,形容詞
dài,長い,形容詞
ngắn,短い,形容詞
rộng,広い,形容詞
hẹp,狭い,形容詞
nặng,重い,形容詞
nhẹ,軽い,形容詞
mạnh,強い,形容詞
yếu,弱い,形容詞
nhanh,速い,形容詞
chậm,遅い,形容詞
